TIPO_VENTA,DOCUMENTO,CORRELATIVO,CODIGO,RAZON_SOCIAL,TIPO_CLIENTE,SKU,ARTICULO,G_PROVEEDOR,ACCTCODEN2,N1,N11,N2,N21,N3,N31,N4,N41,COMERCIAL,ALM,CANT,U#M#,T/C,COSTO,C_TOTAL,P_UNIT,P_TRAS_DESC,V_TOTAL,UTILIDAD
Venta Stock,01 - FACTURA,F001-0025905,C000109,PINTURAS UNIDAS S.A.,Nacional,A000476,SILIPON RN 6031 - 25 KG,ASHLAND,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,40,200,KG,1,"6,457","1291,4","8,7","8,7",1740,"448,6"
Venta Stock,01 - FACTURA,F001-0025903,C000065,INDUSTRIA METAL QUIMICA GALVANO MFP CIA. LTDA.,Nacional,A001260,RAVEN L POWDER - 10 KG,BIRLA CARBON,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,10,KG,1,"4,678","46,78","5,2","5,2",52,"5,22"
Venta Stock,01 - FACTURA,F001-0025902,C000088,MEGAPINTURAS CIA. LTDA,Nacional,A001108,DIOXIDO TITANIO KRONOS 2190 - 25 KG,KRONOS,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,500,KG,1,"3,759","1879,5","3,2","3,2",1600,"-279,5"
Venta Stock,01 - FACTURA,F001-0025899,C000190,PINTURAS LIDER PINLID CIA. LTDA.,Nacional,A001253,BYK 4510 - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"10,488","262,2","14,6","14,6",365,"102,8"
Venta Stock,01 - FACTURA,F001-0025899,C000190,PINTURAS LIDER PINLID CIA. LTDA.,Nacional,A000988,BYKANOL A - 155 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,11,20,KG,1,"6,079","121,58",10,10,200,"78,42"
Venta Stock,01 - FACTURA,F001-0025898,C000088,MEGAPINTURAS CIA. LTDA,Nacional,A001088,CLAYTONE AF - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,20,KG,1,"4,829","96,58","5,95","5,95",119,"22,42"
Venta Stock,01 - FACTURA,F001-0025897,C000109,PINTURAS UNIDAS S.A.,Nacional,A000359,NATROSOL 250 H4BR - 22.680 KG,ASHLAND,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,40,"2041,2",KG,1,"9,356","19097,4672","10,45","10,45","21330,54","2233,0728"
Venta Stock,01 - FACTURA,F001-0025892,C000024,CIPEQ CIA. LTDA.,Nacional,A000142,BYK 066N - 155 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,11,16,KG,1,"10,576","169,216","17,8","17,8","284,8","115,584"
Venta Stock,01 - FACTURA,F001-0025892,C000024,CIPEQ CIA. LTDA.,Nacional,A000723,DISPERBYK 191 - 200 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,200,KG,1,"16,322","3264,4","19,98","19,98",3996,"731,6"
Venta Stock,01 - FACTURA,F001-0025892,C000024,CIPEQ CIA. LTDA.,Nacional,A000320,DISPERBYK 2010 - 200 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,200,KG,1,"8,352","1670,4","12,1","12,1",2420,"749,6"
